Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
8/3/2020,"Đường Lê Lợi, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,67 m²,NaN,NaN,"92,54 triệu/m²"
8/3/2020,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,30 m²,NaN,NaN,71 triệu/m²
8/3/2020,"Đường Ngô Thì Sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,35 m²,NaN,NaN,"91,43 triệu/m²"
8/3/2020,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,30 m²,NaN,5.7 m,"81,67 triệu/m²"
8/3/2020,"Đường Cầu Đơ||1748, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,52 m²,11 m,5 m,"63,46 triệu/m²"
8/3/2020,"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,37 m²,NaN,NaN,"86,49 triệu/m²"
8/3/2020,"Đường Phan Đình Giót, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,NaN,2 phòng,45 m²,NaN,NaN,"34,44 triệu/m²"
8/3/2020,"Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,36 m²,NaN,NaN,"120,83 triệu/m²"
8/3/2020,"Mầu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,36 m²,NaN,NaN,125 triệu/m²
8/3/2020,"Đường Văn La, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,40 m²,NaN,NaN,"94,5 triệu/m²"
8/3/2020,"KĐT Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,40 m²,10.2 m,3.9 m,102 triệu/m²
8/3/2020,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,36 m²,NaN,NaN,"120,83 triệu/m²"
8/3/2020,"Đường Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,50 m²,NaN,3.9 m,"67,8 triệu/m²"
8/3/2020,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,32 m²,NaN,NaN,"60,94 triệu/m²"
8/3/2020,"Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,Nhà phố liền kề,NaN,NaN,5 phòng,55 m²,NaN,NaN,"103,64 triệu/m²"
8/3/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,65 m²,NaN,NaN,"50,31 triệu/m²"
8/3/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,60 m²,NaN,NaN,"47,5 triệu/m²"
8/3/2020,"KĐT Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",Đã có sổ,2,3 phòng,80 m²,20 m,4 m,50 triệu/m²
8/3/2020,"Đường An Hòa||1727, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,Nhà phố liền kề,Đã có sổ,NaN,4 phòng,56 m²,NaN,NaN,"89,29 triệu/m²"
8/3/2020,"Đường Nghĩa Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",NaN,3,3 phòng,40 m²,NaN,NaN,"36,5 triệu/m²"
8/3/2020,"Đường Cầu Am, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,35 m²,NaN,3.6 m,"87,14 triệu/m²"
8/3/2020,"Đường Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,Nhà phố liền kề,Đã có sổ,4,4 phòng,52 m²,NaN,NaN,"96,15 triệu/m²"
8/3/2020,"Đường Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,NaN,NaN,"85,63 triệu/m²"
8/3/2020,"244, Đường Trần Phú, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,7 phòng,45 m²,11 m,3.8 m,"93,33 triệu/m²"
8/3/2020,"Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32 m²,NaN,NaN,90 triệu/m²
8/3/2020,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5 phòng,36 m²,NaN,NaN,125 triệu/m²
8/3/2020,"Đường Quốc lộ 21, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà mặt phố, mặt tiền",NaN,NaN,5 phòng,70 m²,NaN,NaN,110 triệu/m²
8/3/2020,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,48 m²,NaN,NaN,"55,21 triệu/m²"
8/3/2020,"12, Đường Lê Trọng Tấn, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32 m²,4 m,NaN,"92,19 triệu/m²"
8/3/2020,"Đường Yên Phúc, Phường Biên Giang, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Biên Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,3 phòng,47 m²,NaN,NaN,"37,23 triệu/m²"
8/3/2020,"Đường Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",NaN,NaN,5 phòng,34 m²,NaN,NaN,"96,76 triệu/m²"
8/3/2020,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,34 m²,NaN,NaN,"64,12 triệu/m²"
8/3/2020,"Đường Bà Triệu, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,80 m²,NaN,NaN,"93,75 triệu/m²"
8/3/2020,"Đường Thanh Bình, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2 phòng,36 m²,NaN,6 m,"138,89 triệu/m²"
8/3/2020,"21, Đường Hòa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,NaN,2 phòng,72 m²,19 m,40 m,"21,53 triệu/m²"
8/3/2020,"Đường Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5 phòng,83 m²,NaN,5 m,"83,13 triệu/m²"
8/2/2020,"Đường Lê Lợi, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,5 phòng,65 m²,NaN,6 m,"132,31 triệu/m²"
8/2/2020,"Đường Huỳnh Thúc Kháng, Phường Yết Kiêu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yết Kiêu,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3 phòng,30 m²,NaN,3.6 m,"103,33 triệu/m²"
8/2/2020,"74, Đường Yên Hòa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,72 m²,18.8 m,3.8 m,"21,04 triệu/m²"
8/2/2020,"quang trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,1,1 phòng,260 m²,38 m,7 m,"129,15 triệu/m²"
8/2/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,42 m²,NaN,NaN,"90,48 triệu/m²"
8/2/2020,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,6 phòng,40 m²,10 m,4 m,65 triệu/m²
8/2/2020,"Đường Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,38 m²,NaN,NaN,"86,84 triệu/m²"
8/2/2020,Đường Hà Trì 1,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,34 m²,9 m,4 m,"79,41 triệu/m²"
8/2/2020,"Đường Phú Lương||1857, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"59,06 triệu/m²"
8/2/2020,"Đường Ngô Quyền, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,25 m²,NaN,NaN,70 triệu/m²
8/2/2020,"Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,4 m,"64,29 triệu/m²"
8/2/2020,"Đường Phú Lương, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,41 m²,10 m,4.1 m,"51,46 triệu/m²"
8/2/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2 phòng,50 m²,NaN,3.7 m,171 triệu/m²
8/2/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,46 m²,NaN,5 m,"106,96 triệu/m²"
8/2/2020,"Đường Hòa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,10 m,3.5 m,40 triệu/m²
8/2/2020,"Đường Yên Xá, Phường Phúc La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phúc La,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,37 m²,NaN,4 m,"59,46 triệu/m²"
8/2/2020,"Đường Vạn Phúc||1916, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,60 m²,NaN,4.6 m,"63,33 triệu/m²"
8/2/2020,"Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,Nhà biệt thự,NaN,NaN,5 phòng,200 m²,20 m,10 m,"107,5 triệu/m²"
8/2/2020,"Đường Huỳnh Thúc Kháng, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,35 m²,NaN,NaN,"88,57 triệu/m²"
8/2/2020,"Đường 19/5, Phường Phúc La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phúc La,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,50 m²,NaN,4 m,53 triệu/m²
8/2/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,2 phòng,50 m²,NaN,NaN,171 triệu/m²
8/2/2020,"Đường Tôn Thất Tùng, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,53 m²,NaN,NaN,"71,7 triệu/m²"
8/2/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,60 m²,10 m,6 m,"41,67 triệu/m²"
8/2/2020,"Đường An Hòa, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4 phòng,48 m²,15 m,3.5 m,"104,17 triệu/m²"
8/2/2020,"Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,2 phòng,24 m²,NaN,NaN,"86,46 triệu/m²"
8/2/2020,"Đường Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,33 m²,NaN,NaN,"75,76 triệu/m²"
8/2/2020,"58, Đường Hà Trì 3, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,36 m²,6.5 m,6 m,"42,5 triệu/m²"
8/2/2020,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,Nhà phố liền kề,Đã có sổ,5,4 phòng,50 m²,NaN,NaN,96 triệu/m²
8/2/2020,"Đường Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",NaN,NaN,5 phòng,40 m²,NaN,NaN,110 triệu/m²
8/2/2020,"Đường Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,50 m²,NaN,NaN,114 triệu/m²
8/2/2020,"Đường Hà Trì||1775, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,30 m²,10 m,3.2 m,"76,67 triệu/m²"
8/2/2020,"ngõ 11, Đường Quốc lộ 21, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,33 m²,8.2 m,4 m,"49,39 triệu/m²"
8/2/2020,"Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,30 m²,10 m,3.2 m,"76,67 triệu/m²"
8/2/2020,"Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,3 phòng,35 m²,11 m,3 m,"64,29 triệu/m²"
8/2/2020,"Đường Nguyễn Công Trứ, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,42 m²,NaN,NaN,"95,24 triệu/m²"
8/2/2020,"Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phúc La,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,38 m²,10 m,3.8 m,"85,53 triệu/m²"
8/2/2020,"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,NaN,NaN,"64,06 triệu/m²"
8/2/2020,"Đường Ỷ La, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,32 m²,8 m,8 m,"59,38 triệu/m²"
8/2/2020,"Dương nội, gần KĐT Đô Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,35 m²,10 m,3.5 m,"40,57 triệu/m²"
8/2/2020,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,42 m²,12 m,3.5 m,"82,14 triệu/m²"
8/2/2020,"Đường Tố Hữu||1896, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,40 m²,10 m,4 m,"42,5 triệu/m²"
8/2/2020,"Đường Thanh Lãm, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,NaN,1 phòng,40 m²,NaN,NaN,"35,75 triệu/m²"
8/2/2020,"Đường Tố Hữu||1896, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"56,25 triệu/m²"
8/2/2020,"Đường Mỗ Lao, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,34 m²,NaN,NaN,"80,88 triệu/m²"
8/2/2020,"Ngõ 102 phố văn la hà đông hà nội, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,NaN,NaN,95 triệu/m²
8/2/2020,"Đường Nguyễn Văn Trỗi, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,38 m²,NaN,NaN,"106,58 triệu/m²"
8/2/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,60 m²,12 m,5 m,48 triệu/m²
8/2/2020,"22, Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,55 m²,14 m,4 m,"105,45 triệu/m²"
8/2/2020,"Đường Nguyễn Trực, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,38 m²,10 m,3.8 m,"42,89 triệu/m²"
8/2/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,33 m²,NaN,NaN,"193,94 triệu/m²"
8/2/2020,"Phố Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,nhiều hơn 10 phòng,130 m²,NaN,10.4 m,"126,92 triệu/m²"
8/2/2020,"Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,28 m²,4 m,4 m,101.785 đ/m²
8/2/2020,"Đường Ngô Quyền, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,2 phòng,43 m²,NaN,36 m,"67,21 triệu/m²"
8/2/2020,"Đường Nghĩa Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,35 m²,10 m,3.5 m,"42,83 triệu/m²"
8/2/2020,Đường Nguyễn Khuyến,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,32 m²,NaN,NaN,"93,75 triệu/m²"
8/2/2020,"Đường Hòa Bình||1785, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"54,94 triệu/m²"
8/2/2020,"Đường Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,6 phòng,40 m²,10 m,4 m,"107,5 triệu/m²"
8/2/2020,"Đường Lê Lợi, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,40 m²,NaN,3.2 m,80 triệu/m²
8/2/2020,"Đường Bắc Lãm||1734, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"47,88 triệu/m²"
8/2/2020,"Đường Ngô Thì Nhậm, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,50 m²,NaN,NaN,88 triệu/m²
8/2/2020,"Đường Huỳnh Thúc Kháng, Phường Yết Kiêu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yết Kiêu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,30 m²,NaN,3.8 m,"98,33 triệu/m²"
8/2/2020,"Đường Nguyễn Viết Xuân, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3 phòng,90 m²,18 m,5.1 m,"127,78 triệu/m²"
8/2/2020,"Đường Lê Hồng Phong, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,40 m²,NaN,3.2 m,80 triệu/m²
8/2/2020,Đường Nguyễn Công Trứ,Quận Hà Đông,Phường Phúc La,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,45 m²,NaN,NaN,"144,44 triệu/m²"
8/2/2020,"Đường Kiến Hưng, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,30 m²,NaN,NaN,"78,33 triệu/m²"
8/2/2020,"Đường Yên Lộ||1926, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"53,59 triệu/m²"
8/2/2020,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,2 phòng,40 m²,NaN,NaN,"84,5 triệu/m²"
8/2/2020,"Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,36 m²,NaN,4.5 m,"80,56 triệu/m²"
8/2/2020,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,42 m²,NaN,NaN,60 triệu/m²
8/2/2020,"Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,Nhà phố liền kề,Đã có sổ,5,4 phòng,97 m²,NaN,16 m,"108,25 triệu/m²"
8/2/2020,"hòa bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,36 m²,NaN,NaN,"43,33 triệu/m²"
8/2/2020,"Đường Tô Hiến Thành, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3 phòng,67 m²,NaN,4.5 m,"99,25 triệu/m²"
8/2/2020,"Đường Ngô Quyền, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,34 m²,NaN,NaN,"80,88 triệu/m²"
8/2/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,5 phòng,60 m²,15 m,4 m,"79,17 triệu/m²"
8/2/2020,"Đường Rạng Đông, Phường Biên Giang, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Biên Giang,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,40 m²,NaN,NaN,"34,5 triệu/m²"
